入学式,
前日の準備物,
リハーサルあり,"役職者は全員集合(校旗入場,校旗立てるもの、介添の3人は入場の方法、歩き方、礼の方法,校長に校旗の渡し方,旗の立てる物の置き方などを練習する)。"
校旗・学園旗,事務室から校旗、学園旗を持ってくる。校旗1つ。学園旗は、6種類〜7種類ある。事務室の許可が必要。生徒だけでは受け取りが不可能場合もあります。先生にとってきてもらうことも考えておく。
バックパネル(4つ),司会台後ろと、女子バスケ側のドアの前に配置。
桜(模造品),体育館バックパネルを置いているところに置いているので、それを出して、置く。おく場所はステージ前あたりの端っこにおく。
シート、パイプ椅子,部活動、先生方全員で準備する
歓迎の辞,会長は歓迎の辞を作成し、読む練習もしておく
,
当日の朝準備(8:00集合),
リハーサル,役職者は、全員再度リハーサルを行う
ストーブなど,臨機応変に準備物があります
当日の仕事内容,
校旗入場,三役は入場、校旗渡す
歓迎の辞,会長は歓迎の辞を読む。
,
,
,
"※準備について
新2年生が準備を行い、新3年生がリハーサルなどを徹底して行う。
入学式は大事な式典になるため、失敗は極力できない。失敗がないように綿密にリハーサルをするようにする。",
